target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-022 script:0,b9250446-d707-46d4-a461-66e273b8534e:script:0,後輩に地図を描いてあげました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-0.mp3,planned,tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-0-regen-n4ch06-script-20260601.mp3,,,,,
HN4-022 script:1,b9250446-d707-46d4-a461-66e273b8534e:script:1,親切ですね。受付の場所も教えてあげましたか。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-1.mp3,planned,tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-1-regen-n4ch06-script-20260601.mp3,,,,,
HN4-022 script:3,b9250446-d707-46d4-a461-66e273b8534e:script:3,手伝ってあげる時は、相手の気持ちも大事ですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-3.mp3,planned,tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-3-regen-n4ch06-script-20260601.mp3,,,,,
HN4-023 script:1,45466832-238e-429a-af10-e9811dc360d3:script:1,受付の場所も説明してくれましたか。,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-1.mp3,planned,tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-1-regen-n4ch06-script-20260601.mp3,,,,,
HN4-024 script:0,35093fd4-0511-4bdc-bfe4-e4c25c269654:script:0,受付の人に住所を確認してもらいました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-0.mp3,planned,tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-0-regen-n4ch06-script-20260601.mp3,,,,,
HN4-024 script:3,35093fd4-0511-4bdc-bfe4-e4c25c269654:script:3,必要なことは受付の人にもう一度確認してもらいましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-3.mp3,planned,tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-3-regen-n4ch06-script-20260601.mp3,,,,,
HN4-025 script:1,b8b159a7-b8d4-45b3-a8d7-a9d07837b991:script:1,それは残念ですね。受付に連絡しましたか。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-1.mp3,planned,tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-1-regen-n4ch06-script-20260601.mp3,,,,,
HN4-026 script:0,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:0,駅の前で自転車を盗まれました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-0.mp3,planned,tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-0-regen-n4ch06-script-20260601.mp3,,,,,
HN4-026 script:1,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:1,落とし物ではなく、盗まれたんですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-1.mp3,planned,tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-1-regen-n4ch06-script-20260601.mp3,,,,,
HN4-026 script:3,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:3,近くのカメラの映像がこれから確認されます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-3.mp3,planned,tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-3-regen-n4ch06-script-20260601.mp3,,,,,
